/api/v1/admin/homeworks/{homework_id}	delete	admin-management	delete_homework_api_v1_admin_homeworks__homework_id__delete
/api/v1/admin/homeworks/{homework_id}/grading-config	patch	admin-management	update_homework_config_api_v1_admin_homeworks__homework_id__grading_config_patch
/api/v1/admin/homeworks/{homework_id}/references	get	admin-management	list_references_api_v1_admin_homeworks__homework_id__references_get
/api/v1/admin/homeworks/{homework_id}/references	post	admin-management	add_reference_api_v1_admin_homeworks__homework_id__references_post
/api/v1/admin/homeworks/{homework_id}/references/{reference_id}	delete	admin-management	remove_reference_api_v1_admin_homeworks__homework_id__references__reference_id__delete
/api/v1/admin/homeworks/{homework_id}/grade	post	admin-management	grade_homework_api_v1_admin_homeworks__homework_id__grade_post
/api/v1/admin/mistakes	get	admin-management	list_mistakes_api_v1_admin_mistakes_get
/api/v1/admin/mistakes/{mistake_id}	patch	admin-management	update_mistake_api_v1_admin_mistakes__mistake_id__patch
/api/v1/admin/conversations	get	admin-management	list_conversations_api_v1_admin_conversations_get
/api/v1/admin/conversations/{conversation_id}/messages	get	admin-management	list_messages_api_v1_admin_conversations__conversation_id__messages_get
/api/v1/admin/conversations/{conversation_id}	delete	admin-management	delete_conversation_api_v1_admin_conversations__conversation_id__delete
/api/v1/workspaces/{workspace_id}/documents/upload-session	post	documents	create_upload_session_api_v1_workspaces__workspace_id__documents_upload_session_post
/api/v1/workspaces/{workspace_id}/documents/complete-upload	post	documents	complete_upload_api_v1_workspaces__workspace_id__documents_complete_upload_post
/api/v1/workspaces/{workspace_id}/documents	get	documents	list_documents_api_v1_workspaces__workspace_id__documents_get
/api/v1/workspaces/{workspace_id}/documents/{document_id}	get	documents	get_document_api_v1_workspaces__workspace_id__documents__document_id__get
/api/v1/workspaces/{workspace_id}/documents/{document_id}	delete	documents	delete_document_api_v1_workspaces__workspace_id__documents__document_id__delete
/api/v1/workspaces/{workspace_id}/documents/{document_id}/download-url	get	documents	get_download_url_api_v1_workspaces__workspace_id__documents__document_id__download_url_get
/api/v1/workspaces/{workspace_id}/documents/{document_id}/ocr	get	documents	get_document_ocr_artifacts_api_v1_workspaces__workspace_id__documents__document_id__ocr_get
/api/v1/workspaces/{workspace_id}/documents/{document_id}/process	post	documents	process_document_api_v1_workspaces__workspace_id__documents__document_id__process_post
/api/v1/workspaces/{workspace_id}/documents/{document_id}/artifacts	post	artifacts	create_artifact_api_v1_workspaces__workspace_id__documents__document_id__artifacts_post
/api/v1/workspaces/{workspace_id}/documents/{document_id}/artifacts	get	artifacts	list_artifacts_api_v1_workspaces__workspace_id__documents__document_id__artifacts_get
/api/v1/workspaces/{workspace_id}/documents/{document_id}/artifacts/{artifact_id}/download-url	get	artifacts	get_artifact_download_url_api_v1_workspaces__workspace_id__documents__document_id__artifacts__artifact_id__download_url_get
/api/v1/workspaces/{workspace_id}/tasks/{task_id}	get	tasks	get_task_api_v1_workspaces__workspace_id__tasks__task_id__get
/api/v1/workspaces/{workspace_id}/tasks/{task_id}/events	get	tasks	get_task_events_api_v1_workspaces__workspace_id__tasks__task_id__events_get
/api/v1/workspaces/{workspace_id}/tasks/{task_id}/events/stream	get	tasks	stream_task_events_api_v1_workspaces__workspace_id__tasks__task_id__events_stream_get
/api/v1/assets/note-themes/notepatch-paper-v1.css	get	assets	note_theme_api_v1_assets_note_themes_notepatch_paper_v1_css_get
/api/v1/assets/study-notes/render	get	assets	render_study_note_api_v1_assets_study_notes_render_get
/api/v1/workspaces/{workspace_id}/homeworks	get	homeworks	list_homeworks_api_v1_workspaces__workspace_id__homeworks_get
/api/v1/workspaces/{workspace_id}/homeworks	post	homeworks	create_homework_api_v1_workspaces__workspace_id__homeworks_post
/api/v1/workspaces/{workspace_id}/homeworks/{homework_id}	get	homeworks	get_homework_api_v1_workspaces__workspace_id__homeworks__homework_id__get
/api/v1/workspaces/{workspace_id}/homeworks/{homework_id}/grading-config	patch	homeworks	update_grading_config_api_v1_workspaces__workspace_id__homeworks__homework_id__grading_config_patch
/api/v1/workspaces/{workspace_id}/homeworks/{homework_id}/references	get	homeworks	list_homework_references_api_v1_workspaces__workspace_id__homeworks__homework_id__references_get
/api/v1/workspaces/{workspace_id}/homeworks/{homework_id}/references	post	homeworks	add_homework_reference_api_v1_workspaces__workspace_id__homeworks__homework_id__references_post
/api/v1/workspaces/{workspace_id}/homeworks/{homework_id}/references/{reference_id}	delete	homeworks	delete_homework_reference_api_v1_workspaces__workspace_id__homeworks__homework_id__references__reference_id__delete
/api/v1/workspaces/{workspace_id}/homeworks/{homework_id}/grade	post	homeworks	grade_homework_api_v1_workspaces__workspace_id__homeworks__homework_id__grade_post
/api/v1/workspaces/{workspace_id}/learning-units	get	learning	list_learning_units_api_v1_workspaces__workspace_id__learning_units_get
/api/v1/workspaces/{workspace_id}/learning-units/{learning_unit_id}	get	learning	get_learning_unit_api_v1_workspaces__workspace_id__learning_units__learning_unit_id__get
/api/v1/workspaces/{workspace_id}/learning-units/{learning_unit_id}/knowledge-chunks	get	learning	list_learning_unit_knowledge_chunks_api_v1_workspaces__workspace_id__learning_units__learning_unit_id__knowledge_chunks_get
/api/v1/workspaces/{workspace_id}/learning-units/{learning_unit_id}/notes	get	learning	list_study_notes_api_v1_workspaces__workspace_id__learning_units__learning_unit_id__notes_get
/api/v1/workspaces/{workspace_id}/learning-units/{learning_unit_id}/notes/{note_version_id}/download-url	get	learning	get_study_note_download_url_api_v1_workspaces__workspace_id__learning_units__learning_unit_id__notes__note_version_id__download_url_get
/api/v1/workspaces/{workspace_id}/learning-units/{learning_unit_id}/notes/{base_version_id}/revisions	post	learning	create_study_note_revision_api_v1_workspaces__workspace_id__learning_units__learning_unit_id__notes__base_version_id__revisions_post
/api/v1/workspaces/{workspace_id}/learning-units/{learning_unit_id}/flashcard-decks	get	learning	list_flashcard_decks_api_v1_workspaces__workspace_id__learning_units__learning_unit_id__flashcard_decks_get
/api/v1/workspaces/{workspace_id}/learning-units/{learning_unit_id}/flashcard-decks/latest	get	learning	get_latest_flashcard_deck_api_v1_workspaces__workspace_id__learning_units__learning_unit_id__flashcard_decks_latest_get
/api/v1/workspaces/{workspace_id}/learning-units/{learning_unit_id}/flashcard-decks/{deck_id}	get	learning	get_flashcard_deck_api_v1_workspaces__workspace_id__learning_units__learning_unit_id__flashcard_decks__deck_id__get
/api/v1/workspaces/{workspace_id}/learning-units/{target_learning_unit_id}/merge	post	learning	merge_learning_units_api_v1_workspaces__workspace_id__learning_units__target_learning_unit_id__merge_post
/api/v1/workspaces/{workspace_id}/knowledge/search	post	knowledge	search_knowledge_api_v1_workspaces__workspace_id__knowledge_search_post
/api/v1/workspaces/{workspace_id}/mistakes	get	mistakes	list_mistakes_api_v1_workspaces__workspace_id__mistakes_get
/api/v1/workspaces/{workspace_id}/mistakes/{mistake_id}	patch	mistakes	update_mistake_api_v1_workspaces__workspace_id__mistakes__mistake_id__patch
/api/v1/workspaces/{workspace_id}/ai/models	get	ai	list_ai_models_api_v1_workspaces__workspace_id__ai_models_get
/api/v1/workspaces/{workspace_id}/ai/model	put	ai	select_ai_model_api_v1_workspaces__workspace_id__ai_model_put
/api/v1/workspaces/{workspace_id}/ai/chat	post	ai	chat_api_v1_workspaces__workspace_id__ai_chat_post
/api/v1/workspaces/{workspace_id}/ai/conversations	get	ai	list_conversations_api_v1_workspaces__workspace_id__ai_conversations_get
/api/v1/workspaces/{workspace_id}/ai/conversations/{conversation_id}	get	ai	get_conversation_api_v1_workspaces__workspace_id__ai_conversations__conversation_id__get
/api/v1/workspaces/{workspace_id}/ai/conversations/{conversation_id}	patch	ai	rename_conversation_api_v1_workspaces__workspace_id__ai_conversations__conversation_id__patch
/api/v1/workspaces/{workspace_id}/ai/conversations/{conversation_id}	delete	ai	delete_conversation_api_v1_workspaces__workspace_id__ai_conversations__conversation_id__delete
/api/v1/workspaces/{workspace_id}/ai/conversations/{conversation_id}/messages	get	ai	list_messages_api_v1_workspaces__workspace_id__ai_conversations__conversation_id__messages_get
/api/v1/workspaces/{workspace_id}/ai/generate-flashcards	post	ai	generate_flashcards_api_v1_workspaces__workspace_id__ai_generate_flashcards_post
/api/v1/presence/heartbeat	post	presence	heartbeat_api_v1_presence_heartbeat_post
/api/v1/presence/offline	post	presence	offline_api_v1_presence_offline_post
/api/v1/webhooks/tusd	post	webhooks	tusd_webhook_api_v1_webhooks_tusd_post
/health	get	untagged	health_health_get
